source,channel,metric,value,date,business_context,semantic_text
google_analytics,Organic Search,sessions,1200,2024-01-01,Traffic acquisition,"Source: google_analytics
        Channel/Campaign: Organic Search
        Metric: sessions
        Value: 1200
        Business Context: Traffic acquisition
        Date: 2024-01-01"
google_analytics,Organic Search,conversions,32,2024-01-01,Funnel performance,"Source: google_analytics
        Channel/Campaign: Organic Search
        Metric: conversions
        Value: 32
        Business Context: Funnel performance
        Date: 2024-01-01"
google_analytics,Paid Search,sessions,850,2024-01-01,Traffic acquisition,"Source: google_analytics
        Channel/Campaign: Paid Search
        Metric: sessions
        Value: 850
        Business Context: Traffic acquisition
        Date: 2024-01-01"
google_analytics,Paid Search,conversions,21,2024-01-01,Funnel performance,"Source: google_analytics
        Channel/Campaign: Paid Search
        Metric: conversions
        Value: 21
        Business Context: Funnel performance
        Date: 2024-01-01"
google_analytics,Social,sessions,420,2024-01-01,Traffic acquisition,"Source: google_analytics
        Channel/Campaign: Social
        Metric: sessions
        Value: 420
        Business Context: Traffic acquisition
        Date: 2024-01-01"
google_analytics,Social,conversions,8,2024-01-01,Funnel performance,"Source: google_analytics
        Channel/Campaign: Social
        Metric: conversions
        Value: 8
        Business Context: Funnel performance
        Date: 2024-01-01"
google_analytics,Organic Search,sessions,1400,2024-01-02,Traffic acquisition,"Source: google_analytics
        Channel/Campaign: Organic Search
        Metric: sessions
        Value: 1400
        Business Context: Traffic acquisition
        Date: 2024-01-02"
google_analytics,Organic Search,conversions,41,2024-01-02,Funnel performance,"Source: google_analytics
        Channel/Campaign: Organic Search
        Metric: conversions
        Value: 41
        Business Context: Funnel performance
        Date: 2024-01-02"
google_analytics,Paid Search,sessions,900,2024-01-02,Traffic acquisition,"Source: google_analytics
        Channel/Campaign: Paid Search
        Metric: sessions
        Value: 900
        Business Context: Traffic acquisition
        Date: 2024-01-02"
google_analytics,Paid Search,conversions,19,2024-01-02,Funnel performance,"Source: google_analytics
        Channel/Campaign: Paid Search
        Metric: conversions
        Value: 19
        Business Context: Funnel performance
        Date: 2024-01-02"
google_ads,Brand_Search,cost,15000,2025-12-16,Paid acquisition cost,"Source: google_ads
        Channel/Campaign: Brand_Search
        Metric: cost
        Value: 15000
        Business Context: Paid acquisition cost
        Date: 2025-12-16"
google_ads,Brand_Search,conversions,45,2025-12-16,Paid conversion efficiency,"Source: google_ads
        Channel/Campaign: Brand_Search
        Metric: conversions
        Value: 45
        Business Context: Paid conversion efficiency
        Date: 2025-12-16"
google_ads,Generic_Search,cost,22000,2025-12-16,Paid acquisition cost,"Source: google_ads
        Channel/Campaign: Generic_Search
        Metric: cost
        Value: 22000
        Business Context: Paid acquisition cost
        Date: 2025-12-16"
google_ads,Generic_Search,conversions,28,2025-12-16,Paid conversion efficiency,"Source: google_ads
        Channel/Campaign: Generic_Search
        Metric: conversions
        Value: 28
        Business Context: Paid conversion efficiency
        Date: 2025-12-16"
google_ads,Display_Retargeting,cost,12000,2025-12-16,Paid acquisition cost,"Source: google_ads
        Channel/Campaign: Display_Retargeting
        Metric: cost
        Value: 12000
        Business Context: Paid acquisition cost
        Date: 2025-12-16"
google_ads,Display_Retargeting,conversions,18,2025-12-16,Paid conversion efficiency,"Source: google_ads
        Channel/Campaign: Display_Retargeting
        Metric: conversions
        Value: 18
        Business Context: Paid conversion efficiency
        Date: 2025-12-16"
seo,organic,keyword:digital marketing tools,29000,2025-12-16,SEO opportunity analysis,"Source: seo
        Channel/Campaign: organic
        Metric: keyword:digital marketing tools
        Value: 29000
        Business Context: SEO opportunity analysis
        Date: 2025-12-16"
seo,organic,keyword:growth marketing strategy,14000,2025-12-16,SEO opportunity analysis,"Source: seo
        Channel/Campaign: organic
        Metric: keyword:growth marketing strategy
        Value: 14000
        Business Context: SEO opportunity analysis
        Date: 2025-12-16"
seo,organic,keyword:marketing automation ai,9000,2025-12-16,SEO opportunity analysis,"Source: seo
        Channel/Campaign: organic
        Metric: keyword:marketing automation ai
        Value: 9000
        Business Context: SEO opportunity analysis
        Date: 2025-12-16"
case_study,strategy,case_text,0,2025-12-16,"Case: SaaS Growth
Observation: Organic traffic stagnated despite high content volume.
Solution: Shifted from keyword-based SEO to topic clusters.
Result: 42% increase in organic conversions in 4 months.

Case: Ecommerce Paid Ads
Observation: High CPC but low conversion rate.
Solution: Funnel-based retargeting and landing page optimization.
Result: CPA reduced by 35%.
","Source: case_study
        Channel/Campaign: strategy
        Metric: case_text
        Value: 0
        Business Context: Case: SaaS Growth
Observation: Organic traffic stagnated despite high content volume.
Solution: Shifted from keyword-based SEO to topic clusters.
Result: 42% increase in organic conversions in 4 months.

Case: Ecommerce Paid Ads
Observation: High CPC but low conversion rate.
Solution: Funnel-based retargeting and landing page optimization.
Result: CPA reduced by 35%.

        Date: 2025-12-16"
